Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,Epochs,Learning Rate,embedding_size,freeze_embedding,hidden1_size,hidden2_size,hidden3_size,hidden4_size,model_name,optimizer,test_bas,test_loss,train_bas,train_loss,validation_bas,validation_loss
2022-10-26 08:36:27,,f6db5adbea6d40389cdefdf238ffc296,silent-ape-487,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,RUNNING,15,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,,,,
2022-10-26 08:29:33,2.2min,99f39bac97a849f49cb82faeb0551ea7,sincere-stoat-235,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FAILED,15,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,,,,
2022-10-26 08:24:43,2.2min,3b8bf867b75a4996982fcb6de3901c5c,angry-asp-674,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FAILED,15,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,,,,
2022-10-25 23:56:28,18.7min,6cdbf98ae9234efbb554b8a116aa69ed,monumental-dove-430,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,100,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,0.9627484121149393,0.13204248193794352,0.13013950167065447,6.039612536527673
2022-10-25 23:04:36,13.1min,a0754a6bee844856a4b6ea9660771c49,stately-bird-925,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,50,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,0.9313794115115284,0.25729158364445964,0.12668385770661694,5.65622544045351
2022-10-25 22:38:41,3.2min,e1e7ec8787ce4826a74a353ec4dda314,valuable-kite-847,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,5,,300,True,1024,1024,,,mlp5_10Cat,optim.SGD_lr=0.001_momentum=0.9,,,0.3648167429353747,1.8426991560879875,0.06832300205385972,2.4309003280133616
2022-10-24 20:15:11,,e708b65874ab440c9978827817285f4b,capricious-bear-738,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,RUNNING,5,,300,True,1024,256,,,mlp4,optim.SGD_lr=0.01_momentum=0.9,,,0.0013280886636923579,6.448884605834618,0.0015202172095130208,6.448880400525005
2022-10-23 18:26:14,,99f9f23a67594d5c9061334ebeff26dc,unique-dolphin-444,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,RUNNING,5,,300,True,1024,256,,,mlp4,optim.SGD_lr=0.01_momentum=0.9,,,0.0022304427716602544,6.448857541395365,0.0023520673342440775,6.448853748958247
2022-10-23 18:22:52,2.4min,ae09a40aca0e488ea18c68256fad9239,burly-fish-225,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FAILED,5,,300,True,256,128,,,mlp3,optim.SGD_lr=0.001_momentum=0.9,,,,,,
2022-10-22 17:54:29,18.9h,23abd7d72557401ebcfb22ccd3425abb,sincere-bird-144,LOCAL,/users/galonso/miniconda3/envs/deeplearning/lib/python3.9/site-packages/ipykernel_launcher.py,galonso,FINISHED,80,,300,True,256,128,,,mlp3,optim.SGD_lr=0.001_momentum=0.9,,,0.001786094913533838,6.448840794156214,0.0015920964381461139,6.448840965912497
