run_id,key,value,step,timestamp
ca4ee0e3a09040f39b4879bf33e2c52b,test_bas,0.9263175089465766,9,1668054219132
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.23694918350894484,0,1668041049148
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.7182445088042041,1,1668042411246
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.7948419776145902,2,1668043591099
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8217213660252353,3,1668045090955
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8362301906281533,4,1668046470396
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8456784982868917,5,1668048100796
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8524624319997328,6,1668049827030
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8577491766180039,7,1668051512644
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.861643444295537,8,1668052973382
ca4ee0e3a09040f39b4879bf33e2c52b,train_bas,0.8651602066260116,9,1668054210539
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,4.097304612358016,0,1668041024069
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,1.1494053450676376,1,1668042387975
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.8351444907294644,2,1668043565294
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.7261965914388524,3,1668045064890
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.6671555173749055,4,1668046444341
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.6283178726484003,5,1668048073893
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.5998360307759568,6,1668049801549
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.5776936967013965,7,1668051486640
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.5599880045764876,8,1668052949703
ca4ee0e3a09040f39b4879bf33e2c52b,train_loss,0.5452281882078518,9,1668054188434
